owner,name,url,description,run_count,created_at,visibility,github_url,paper_url,license_url
zf-kbot,claymation,https://replicate.com/zf-kbot/claymation,Generate clay style images based on prompts or images,493,2024-05-08T07:52:42.474554Z,public,,,
cuuupid,glm-4v-9b,https://replicate.com/cuuupid/glm-4v-9b,"GLM-4V is a multimodal model released by Tsinghua University that is competitive with GPT-4o and establishes a new SOTA on several benchmarks, including OCR.",91985,2024-06-11T17:01:39.744025Z,public,https://github.com/THUDM/GLM-4,,https://huggingface.co/THUDM/glm-4-9b/blob/main/LICENSE
zsxkib,whisper-lazyloading,https://replicate.com/zsxkib/whisper-lazyloading,"Convert speech in audio to text w/ `tiny`, `small`, `base`, and `large-v3` models",137,2024-06-27T17:29:19.025333Z,public,https://github.com/replicate/cog-whisper/tree/feature/lazy-loading-and-updates,https://cdn.openai.com/papers/whisper.pdf,https://github.com/openai/whisper/blob/main/LICENSE
lucataco,dolphin-2.9-llama3-8b,https://replicate.com/lucataco/dolphin-2.9-llama3-8b,"Dolphin-2.9 has a variety of instruction, conversational, and coding skills. It also has initial agentic abilities and supports function calling",3061,2024-07-01T15:41:35.076621Z,public,,,
chenxwh,diffsynth-exvideo,https://replicate.com/chenxwh/diffsynth-exvideo,Extended video synthesis model that generates 128 frames,204,2024-06-30T17:02:16.538298Z,public,https://github.com/chenxwh/DiffSynth-Studio,https://arxiv.org/abs/2406.14130,https://github.com/modelscope/DiffSynth-Studio/blob/main/LICENSE
skytells-research,focus,https://replicate.com/skytells-research/focus,"Image generation, Inpaint Strength, loras custom_urls and enhancer.",449,2024-06-30T18:54:02.526986Z,public,,,
chenxwh,depth-anything-v2,https://replicate.com/chenxwh/depth-anything-v2,"Depth estimation with faster inference speed, fewer parameters, and higher depth accuracy.",297437,2024-06-29T09:05:08.082661Z,public,https://github.com/chenxwh/Depth-Anything-V2,https://arxiv.org/abs/2406.09414,https://github.com/DepthAnything/Depth-Anything-V2/blob/main/LICENSE
suryakantk94,whiteclaw-sdxl2,https://replicate.com/suryakantk94/whiteclaw-sdxl2,,37,2024-06-29T00:40:16.795110Z,public,,,
suryakantk94,whiteclaw-sdxl,https://replicate.com/suryakantk94/whiteclaw-sdxl,,58,2024-06-28T23:45:57.194816Z,public,,,
suryakantk94,whiteclaw-db,https://replicate.com/suryakantk94/whiteclaw-db,,20,2024-06-28T21:20:03.205614Z,public,,,
lucataco,hermes-2-pro-llama-3-70b,https://replicate.com/lucataco/hermes-2-pro-llama-3-70b,"Hermes 2 Pro is an updated and cleaned version of the OpenHermes 2.5 Dataset, as well as a newly introduced Function Calling and JSON Mode dataset developed in-house",360,2024-06-28T18:08:54.916912Z,public,,,
ankur-singh,nexusraven-v2-13b,https://replicate.com/ankur-singh/nexusraven-v2-13b,Best Open-Source Model for Function Calling,34,2024-06-26T08:50:05.393729Z,public,https://github.com/nexusflowai/NexusRaven-V2?tab=readme-ov-file,,
shahildhotre,sdxl-finetune-whiteclaw,https://replicate.com/shahildhotre/sdxl-finetune-whiteclaw,,39,2024-06-28T06:15:17.737876Z,public,,,
lucataco,hermes-2-theta-llama-3-8b,https://replicate.com/lucataco/hermes-2-theta-llama-3-8b,Hermes-2 Θ (Theta) is the first experimental merged model released by Nous Research,27,2024-06-28T18:30:58.625857Z,public,,,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/apache-2.0.md
